Varenr.,Beskrivelse,GTIN
000-K12145,"Hylle (90x90) 863,6 x 537,6 x 16 mm",5707438021229
000-K12150,"Hylle (90x90) 326,5 x 537,6 x 16 mm",5707438021236
000-K12155,"Planke 767,5 x 297,6 x 16 mm",5707438021243
000-K12160,"Planke 567,5 x 297,6 x 16 mm",5707438021250
000-K12165,"Planke 467,5 x 297,6 x 16 mm",5707438021267
000-K12170,"Planke 367,5 x 297,6 x 16 mm",5707438021274
000-K12175,"Planke 267,5 x 297,6 x 16 mm",5707438021281
000-K12210,"Byggeplank 967,5 x 537,5 x 16mm",5707438033338
000-K12215,"Byggeplank 767,5 x 537,5 x 16mm",5707438033345
000-K12220,"Byggeplank 567,5 x 537,5 x 16mm",5707438021304
000-K12225,"Byggeplank 467,5 x 537,5 x 16mm",5707438033352
000-K12230,"Byggeplank 367,5 x 537,5 x 16mm",5707438033369
000-K12235,"Byggeplanke 367,5 x 297,6 x 16mm",5707438191175
000-K12255,"Byggeplank 567,5 x 297,6 x 16mm",5707438191199
000-K12265,"Byggeplank 367,5 x 285 x 19mm",5707438191212
000-K12268,"Byggeplank 467,5 x 285 x 19mm",5707438982056
000-K12270,"Byggeplank 567,5 x 285 x 19mm",5707438191229
000-K12280,"Byggeplanke 367,5 x 664,6 x 19mm",5707438709141
000-K12285,"Byggeplank 467,5 x 664,6 x 19mm",5707438709158
000-K12290,"Byggeplank 567,5 x 664,6 x 19mm",5707438709165
000-K12295,"Byggeplank 967,5 x 664,6 x 19mm",5707438709172
000-K12340,"Byggeplank 767,5 x 664,6 x 19mm",5707438703880
000-K12360,Byggeplank 600 x 600 x 19mm,5707439065796
000-K12420,Side for avtrekkshette 480x320x16mm R.,5707438989246
000-K12421,Side for avtrekkshette 480x320x16mm L.,5707438989260
000-K12422,Side for avtrekkshette 640x320x16mm R.,5707438989284
000-K12423,Side for avtrekkshette 640x320x16mm L.,5707438989307
000-K12426,Side for avtrekkshette 800x320x16mm R.,5707438989321
000-K12427,Side for avtrekkshette 800x320x16mm L.,5707438989345
000-K12436,Side for avtrekkshette 960x320x16mm R.,5707438989369
